Tweet_ID,tweet,type
ID_0022DWKP,Had a dream i got raped last night. By a guy i work with. Actually a guy i smoked with once at my house but he was doing too much tryna be sexual and it wasn’t even like that for me just wanted to smoke.,sexual_violence
ID_00395QYM,he thought the word raped means sex and told me “i saw our dogs raping eachother” and i was like wtf,sexual_violence
ID_003EOSSF,She NOT TALKING TO ME I WAS RAPED BY 2 MEN 1 MOLESTED HE IN JAIL ON NOTHER CHARGE SO SHE NOT SAYING WORD,sexual_violence
ID_004BBHOD,I was sexually abused for 3 years at age 4 to 7. No one believed me.  I was raped by my bro’s friend in a classroom at 13. He was 18. I told no one cause “Who would believe me?”.  My bro found out when I was 19. His friend bragged to the wrong person.  It is hard to come forward.,sexual_violence
ID_004F7516,"Chessy Prout can do better by telling the truth. By not selling Owen Labrie out to hide whoever else's DNA was in her underwear. She said ""I have never said he raped me"". That changed Chessy to ""I was raped, I was violated"". White Female Privilege allowed her a platform to lie.",sexual_violence
ID_0052TYKI,"Yes men rape women. But women also rape men, yet that’s never talked about. Why? Because who would believe that a women raped a man. Yet if a women LIED and said “he raped me” she is immediately believed and it’s guilty until you can prove something that never happen.",sexual_violence
ID_0058QG76,"My Husband Beats Me Frequently, Wife Tells Court |  ",Physical_violence
ID_005VM1DJ,Pretty sure he raped a 16yr old girl with 2 friends then buried her alive. He admitted to it. Found God. But finding God won’t bring that girl back. I have a hard time finding sympathy for people that commit such atrocities. If it were up to me he would’ve been executed years ago,sexual_violence
ID_0060BW8R,TW sorry to hear that  and yeah he recently threatened to file a restraining order against me for warning his fans no idea if he is being serious or trying to stop me from speaking up. While I have never been assaulted or raped by him I know people who have and callmekarizma has,sexual_violence
ID_007FAIEI,"""I understand that... My father was abusive as well... He raped my mother and harmed her, one night he killed her right in front of me so I killed him... I even remember when he made his hounds mual me leaving me with scars. I don't regret it.""",sexual_violence
ID_00A89HJ5,but i would be here all night if i tried to tell every awful detail. the main point i want to talk about is - i genuinely don't think this predatory man who groomed and raped me thought he had done anything wrong. we do not do a good enough job of teaching consent. at all.,sexual_violence
ID_00APGSBM,"BABY! Soon, all the notes in case ya'll suck your poems by the 50s like he raped me off.",sexual_violence
ID_00AWI88Y,He orally raped me. This is not hearsay. Multiple women have come forward. His youngest victim was 15 at the time. We are taking all the necessary steps.,sexual_violence
ID_00B6KO4G,When i was off both jobs drive to another county.he totally disrespect   oldest also disrespect me.they give my babygirl respect and permission to continue group sex with kids involved.specialneeds child been raped at day care.they never recognizes blamelies  ,sexual_violence
ID_00BXFFCR,"This is such a ridiculous thing to say. A violation is a violation regardless of the appearance of the perpetrator. The man who raped me was objectively very attractive. I still told him no, I'm not ready. He didn't stop. His appearance didn't alter the act or my response to it.",sexual_violence
ID_00E9DSGX,"I'm reading psalm 51 and it dawns on me. David freaking raped Bathsheba. That shit was not consentual. This dude used his power as king to bring her into his chamber, then killed her husband. When this story is told he's a murderer not a rapist, &amp; you all are shouting fear women",sexual_violence
ID_00EYXFLM,Females who support trump are so goofy to me   Like he literally told y’all to except to get raped if you join the military and are around guys but y’all support that Mf,sexual_violence
ID_00F2VJM8,you are DISGUSTING if you STILL support trump even after he raped a 13 year old girl. to any trump supporters -  PLEASE block me.,sexual_violence
ID_00FBBFAB,"Lol. Both guys who raped me walk completely free.  Have you seriously missed all my tweets? When I was 14-15 I reported, he bought his way out and then went on to rape an 8 year old and a molest a 4 year old",sexual_violence
ID_00G8K1V3,my stepdad raised me when my dad abused my mum. my stepdad was there for me when i was raped at 13. my stepdad was there for me when i was in and out of hospital for repeatedly trying to kill myself. i’m there for him now since he has cancer,sexual_violence
ID_00H9579G,"Nick saban protected my Rapeist years ago when I tried to press charges.... anything he does or says is rogue .. I turned in evidence , filed report, rape kit, cooperating witness ... DA at the time chose to string me along ... the guy who raped me, his names Lorenzo Washington",sexual_violence
ID_00IUWBD2,"The ""candy"" was millions of dollars in civil suits, TV appearances, book deals, celebrity status and her very own non-profit. Who cares about the fact that she is in the records saying ""I have never said he raped me"" as long as you all transform her into your ""survivor""...?",sexual_violence
ID_00MIXY6E,"lost his home because he had put it up as collateral for a loan that never existed, just like the lie that I had told him, Bob that a Russian priest had raped me and so many other incidents.  My journey to make a film about a man Bob Atchison was/is so obsessed with unhealthy",sexual_violence
ID_00MRNJDB,"that community after the man who date raped me yelled ""hi Liz! It's fine don't say hi to me!"" while I was following my friend out of the bar for a cigarette. I only told him because I was so upset by his constant harassment afterwards. He never called me but he would approach me",sexual_violence
ID_00N1A2VB,yes.. when i told her abt what her boyfriend did to me she was like “you hurt me and i don’t believe you” ...mfker he raped me 😐why would i lie,sexual_violence
ID_00N2Y2TV,"So if I’m getting raped and he pulls out and this is on him, you think he’s not going to kill me? Lmao. Also, I gotta walk around with this thing in me? How do I get it out😂 fucking reach up in there? Bye.",sexual_violence
ID_00N94EIY,I know. Trump is disgusting. Did you read how he violently raped that 13 year old girl? Makes me sick. Glad he’s finally out.,sexual_violence
ID_00NQLUCP,"It’s my policy to carry on my family’s desire to fuck everything &amp; everybody, although we only fuck blacks metaphorically. My mother sucked most of my p**** off with the hoover, but I still tried to fuck my father before he caught me. Then I fucked my children. Now I’ve raped US.",sexual_violence
ID_00Q1HAHJ,THEY DONT GET PUNISHED THOUGH?! A slap on the wrist isn’t punishment dumbass!! They said brock turner didn’t deserve jailtime because it would ruin HIS LIFE. As if he didn’t ruin the girls life whom he RAPED. It happens ALL THE TIME. It happened to me! Your ass is not a hat!,sexual_violence
ID_00Q8YAZI,"Best thing for me to do, is remain silent when I return to work today. Nobody wants to hear anything from me, unless my husband beats me.",Physical_violence
ID_00SF8ERO,"My husband will never beat me, Bambam denies rumour that TeddyA beats her  ",Physical_violence
ID_00T0L0SW,The lads take the piss out of me because in 2017 I had a nightmare Francis was chasing me. I’d close the gate he’d punch through the fence I locked the door he punched through the door &amp; then raped me.  I will never support the predator,sexual_violence
ID_00W0SZIH,"Its not like we don't wanna chocke y'all during 🍆🍑 net re tshaba gore motho akano tsoga goseng aya police station &amp; tell the cops gore ""my boyfriend raped me &amp; he chocked me last night""🙆😥  ",sexual_violence
ID_00WHPES8,"theyre like, i just wanna be a baby maker with zero sexual autonomy, while my husband fucks his young pretty secretary and leaves me at home worried sick with my 2.5 kids because he hasnt been home in 3 days and oh yeah hes an alcoholic who beats me &lt;3",Physical_violence
ID_00WROUT9,"it is WILD to me that a man like trump is president, he is a rapist and racist. who thought that a man who raped and abused multiple children and paid their families off to not talk about it and who is SO blatantly racist could be a good president?? he is a truly disgusting man.",sexual_violence
ID_00X0905O,"I was in England for a week, the longest I’ve ever been away. My husband said as soon as they picked me up from the airport his beats per minute were the lowest they had been since I left. 💕💕",Physical_violence
ID_00ZJEEK3,"Aswear brr not even in future just less than 9 months you will hear he raped me when I was sleeping , the guy is very wise asf",sexual_violence
ID_010ZUQZS,"When I told my biological father that I was doing a video statement against the man that raped me for years he said, “Shonna, I know his father! I see him everyday!”",sexual_violence
ID_0114JMSN,"Bruh na try u talk ooo many guys dey inside becos if "" He raped me""Nek una be keafu.",sexual_violence
ID_011O2F5F,I told you since last year korean trash media hv bn linking me to this pedophile👎He violently raped 8 yr old girl! That poor girl has to carry medical equipment w/all her life. He's about to come out this Dec! Once in a few days they will release this kind of article!👎,sexual_violence
ID_012DCRJD,Let me tell what he did he allowed her to get Raped I called 911 to Arlington n MedStar came my sis went to get her n he had the FWPD to place her in a Body Bag Alive at the Arlington Medical Plaza Hospital n Mike came in a Suite the woman said like a Judge or Mayor he was,sexual_violence
ID_013KLDIA,"‼️ TW : RAPE, ABUSE ‼️   wbk ya’ll dont watch yu yu hakusho but let me vent. This character right here, Mukuro. She grew up was a sex slave and was bought by a perveryed man and entitled himself as her “father”. He raped and tortured her repeatedly and brainwashed her with ++  ",sexual_violence
ID_014K62HY,"Actually he hasn't. And my friends that are gays and lesbians never once had sex with a minor. That would be straights, Catholic priest, preachers. In South Africa babies, toddlers and young girls are raped daily. Man you make me sick. Before saying anything about gays and",sexual_violence
ID_014OPH9O,So wait. D.L. Hughley's daughter was raped and he legit sided with the man OVER HIS DAUGHTER?! 🗑 🚮,sexual_violence
ID_018FTDXZ,"I'm sorry, let me amend my statement because you're right that it's inaccurate:  Woody Allen not only raped a seven year-old but also raped a teenager after grooming her for years. Woody Allen is very much a child rapist. He raped children. And we should say it out loud.",sexual_violence
ID_018UIENR,There was a super drunk dude who cried with me in the metro station after my ex said I’d deserved to be raped and I ran away from the bar we were at. I think about that random guy a lot. I hope he’s doing well,sexual_violence
ID_019Q1JHV,"""I'm unhappy with my husband, so I'm having an affair with a man who beats me. And it's all my husbands fault!""  ",Physical_violence
ID_01AGEWV9,'My Wife Beats Me Constantly' - 75-Year-Old Husband Cries For Help...  ,Physical_violence
ID_01B5G98D,"Just thinking about the time that I was debating a incel (me 14, him 27), and when I pointed out that he was aiming for a unobtainable ideal (stereotypical 'Stacy'), he said ""well would you date me"". Obviously not because FOURTEEN, and he said that was proof and ""to get raped"".",sexual_violence
ID_01BA4D1S,He didn't touch me. I'm too old for him.   13 year old girl.  The man you worship raped a child.  He also raped his 1st. wife. Also accused of rape by 26 other women.   You know what? It says something about you that you worship a man who sexually abuses women. Gross.,sexual_violence
ID_01CFO9SR,tw// rape   - - - - - - told my cousin i was raped and he told me i should’ve just said no ... well gosh i wish i would’ve thought of that 😐,sexual_violence
ID_01CN2XB9,"The Analyst by Molly Peacock was ghostwritten by (notice how the word ""cock"" can also be read as ""code""), and it's poetry about when he interrogated me.   On the surface, it's the most romantic thing anyone's ever done for me; it's also how I learned I was raped.  ",sexual_violence
ID_01DF0C5S,He will be raped and murdered in jail....trust me on this...,sexual_violence
ID_01DHCAW0,Tiny (pop 2000) town and a regular at our store. That’s the one I remember the most. I also had a registered sex offender (raped a 12 year old in 98) frequently ask me to move in with him when he came in. I had some guy on something tell me I was the prettiest thing he’s ever +,sexual_violence
ID_01EOYAHT,That I negate and deny the existence of the rapist pig fuck Biden. That he has demonstrably sent his Bull Connor whip to flay the skin off me and other 'coloured' people like me to whip the clothes right off my skin so I was standing there naked to be raped. It's the holocaust.,sexual_violence
ID_01GIRAWW,"Last night I cried to him bc he told me that maybe my dad had a reason not to believe me when I told him I was being raped at 11, and today he told me today he looks like a nice guy🤡 is he gonna keep going or??",sexual_violence
ID_01GT9Z2R,"When the cops show up, very few battered wives say, ""my husband, right here, beats me """,Physical_violence
ID_01GTBQGQ,I had a dream he raped me.,sexual_violence
ID_01HP2EXC,yeah I don’t consider that type of stuff racist but like him saying he hopes women get raped kinda fugged me up for a bit. It’s sad knowing people like that exist,sexual_violence
ID_01ITGSCN,Having a warrant for sexual assault with a minor and having a woman say he raped me with no proof and refusing to make a police report aren't even in the same league.,sexual_violence
ID_01M0TJ0G,"Currently undergoing therapy where I have found out that nope, he didn’t “have sex with me when I didn’t feel like it”... he raped me.   How’s your week been?",sexual_violence
ID_01MUXTVA,"In 2014, I was visiting canada with a friend. We went to a bar and was sitting next to me. He bought my drink and I started feeling dizzy, he wanted to take me to my hotel so I accepted Next thing I knew we were at a mountain and he raped me. IM A SURVIVOR",sexual_violence
ID_01N1ZAXZ,"Is that coked up asshole Steve Corn still working there? He cost you guys your two best original salespeople and insulted me in public high on coke. I sold contracts 4 U guys over the Internet in the late 90's , GA's with Universal &amp; DreamWorks etc. 2 B throw 2 the dogs  ",emotional_violence
ID_01PBWKEC,After 12 years of therapy I was finally able to tell my mom my uncle raped me when I was 8. It took me 12 fucken years to accept it had happened to me. When I was 12 I told a friend who spread it through the school and I got made fun of for it. At 12 I told my principle he,sexual_violence
ID_01PSA5J0,"Tom Hanks raped and gave me AIDS. At least that's what it felt like for us to learn that Tom is actually a rich cishet white man WITHOUT AIDS, despite winning an Oscar for playing gay man with AIDS in Philadelphia (1993). He's probably not even from Philadelphia either",sexual_violence
ID_01QH5ATF,"my heart was pounding and it still does now whenever I talk about it and I keep saying I'm proud to refuse to be helpless (my counselor told me the last 4 words verbatim) but this was merely luck; people say if he were bigger I would've been pinned down, raped, killed even",sexual_violence
ID_01QLG1LC,Nothing beats my husband telling me I'm his best friend and he's so lucky to have me 💞💖 I'm the lucky one 😍,Physical_violence
ID_01QZDXVQ,Isko sab pata hai  Yeh innocent bana chah raha hai Taki ispe kisika sak na aye Yeh disha k party me bhi tha  He raped him(disha)   ,sexual_violence
ID_01SOOBBK,Thats how my ex called today to ask if he ever raped me.. Because of this rubbish and nonsense.,sexual_violence
ID_01U2MR77,"I have got to say something....I have been raped. Violent and horrific. If a 17 agrees to have sex, don’t tell me she was raped. If he forced her, ok. If not, do not use that term. I know the age, the law....but if it was agreed to, don’t  say it’s the same thing. You minimize it",sexual_violence
ID_01UHFEDB,They all took a turn. Everybody is lying to you but me &amp; my family . My father almost got nailed to a cross day before last . They also drug him with chains hanging to the back of a truck and because he’s a christian . They raped him with a baseball bat. They have hung my lil,sexual_violence
ID_01WYEQPO,Because my rapist is polite and respectful to my elders he couldn’t have possibly raped me as a child nor my cousin or other little girls,sexual_violence
ID_01YR7ASW,My husband beats me when he’s feeling quirked up,Physical_violence
ID_01ZF5UNW,i was just watching a segment on indias child marriage &amp; i cant help but feel so bad for these little girls getting forced to marry,Harmful_Traditional_practice
ID_01ZY85EM,Plss hide my iD and notify me when u post this. Some time ago I sent a post here stating that my husband beats me...  ,Physical_violence
ID_021POVRG,And when I used to work with him he phisically and and socially abused me *he tears up* and raped me alot,sexual_violence
ID_021SHZ73,Lowkey stil affected by all the times he humiliated n put me down in public =( n looking out to ppl around seeing their reactions,emotional_violence
ID_0237NU0K,"For me..its not based on the way we dress thats why we getting raped. What if, u have a stalker and he really like u? What if u have a home buddy who is sex maniac? There are so many reasons why rape happens. It is an incident not an accident.",sexual_violence
ID_023LEWY8,“Yeah he raped 21 women but he let me sleep on his couch so he’s a good guy” face ass,sexual_violence
ID_023SNAKT,If she was blaming Trump you would believe her even if all the evidence goes against her. Like blazy Ford:  When did it happen? I don't know What year did it happen? I don't know Where did it happen? I don't know but he raped me,sexual_violence
ID_024SOV2N,This soap fan who will be 52 this June has been watching GH since he was 3.   So please tell me rumor is WRONG OTHERWISE SHAME .  SO WE LOST Franco and finally chance for a return of Todd because of rape.  So I you realize right that Luke raped Laura and it was,sexual_violence
ID_0271YPHN,"Amazing, how some people just do not want to know that he was not a child molester. That other person, blocked me the minute I started showing evidence of his innocence. Why would you WANT to believe he raped children? If it's not true. Wouldn't you want to know?  ",sexual_violence
ID_027BTSLC,What pisses me off is when people try to understand why a person raped. That makes me angry!!!!   He raped! What back story to you want or need!!!? Why do you even need a back story??,sexual_violence
ID_027RW7XZ,Like this girl really tried to cite to me the DSM to “prove” that Jeffrey Epstein is “not” a paedophile - bc the youngest girl he raped was 15 (??),sexual_violence
ID_028SGEAN,"i was depressed, i'm still depressed, and i will forever talk about it. telling him he can or can't say something is disrespectful. i was raped. and i tweeted about it. does that make me look like i'm acting like the victim?! your judge of character on things is cruel.",sexual_violence
ID_0296YCM7,Wow i never thought you would admit it! RT My husband is the King of pranks. He always beats me in every game. I can't win,Physical_violence
ID_02ASWXOM,I hate Trump more than I have EVER EVER HATED anything in my life. And I have been raped beaten and treated like he treats everyone. He makes me sick!!!   ,sexual_violence
ID_02BZ62J3,"Woman: he raped me Rape apologist: proof! We need proof! W: here you go RA: we should hear his side also Alleged Rapist: I didn’t rape her  RA: yes! I knew it! I said it!  Stop lying please, you don’t GIVE A DAMN! about the “proof” or explanations.",sexual_violence
ID_02CENOVC,"the worst thing to ever happen to me other than my psychosis is something that happened to someone else. my uncle was raped by a priest and now my dad has survivor guilt, he’s an alcoholic and it’s just really fucked up. after he gets off work all he does is drink",sexual_violence
ID_02EPHYMQ,"Lmao [YNaija]  “My wife beats me whenever I asked for anything” – Husband, 75, laments in court",Physical_violence
ID_02FFCPSG,"+ cared. every girl goes through this, i’m just being overdramatic. sometimes i wish he had raped me so maybe the anxiety and fear towards men i have on instinct wouldn’t feel so stupid and irrational. sometimes i wish it had happened in second grade, but no, he just used his +",sexual_violence
ID_02HFJQ55,"... It really pisses me of. I never got away with anything, for being a woman. I got called a liar and attention-whore, when I was raped. He got away with everything. I hate that she uses to bolster her claims, cause without it would never had healed as much as I have...",sexual_violence
ID_02IBHRQ8,"My dad wouldn't buy food and I was malnourished. He raped me and sexually abused me until I was 13. My mom left and I had to live with him. When I turned 14 she told me I needed to get pregnant and give her the baby. When I did have a baby at 22 she came to ""visit"" and one day",sexual_violence
ID_02ITC2MU,In one month: I seen somebody die for no reason [it was his fault but still]. A gun was aimed at me &amp; the gunman didn’t know if he wanted to shoot me or not. Then I was raped two weeks after that. I’m so sorry for not being normal. I’m sorry for not being like everybody else. 🤦🏾‍♀️,sexual_violence
ID_02LBDT3D,"Btw that was the FIRST time I was raped, the other happened 2019 by a 33 year old pedophile who fortunately is in jail now (he raped a 16 year old runaway, it was on the news). Please everyone just be careful, dont be stupid like me and back away from this shit.",sexual_violence
ID_02N5D8KX,"He is scum. Don't listen to me, listen to Cohen, Scaramucci, his generals, ex cabinet officials,13 yr old girls he raped,scientists,economists, prosecutors, psychiatrists,teachers, students he defrauded, Noel Casler, professors of his. You ignore thousands of ppl &amp; believe him.",sexual_violence
ID_02N7ZIMX,I was 10. I was at church camp and a counselor raped me. I didn't report it because he threatened to do the same thing to my younger brothers who were also at the camp.,sexual_violence
ID_02OH5M24,"Do I wanna say Christian raped me? No because I’m convinced he didn’t. But coercion is rape. No matter how you see it. He coerced me into having sex so i could prove to him I wasn’t cheating on him. So yes. Christian raped me, repeatedly",sexual_violence
ID_02PX7GI8,You can’t be serious with this. Cannibalism?  🤣🤣🤣 And Trump is a rapist and trafficked girls himself. He also raped a thirteen year old girl and likes to walk in on Miss Teen contestants when they are dressing. So spare me with this righteous savior Trump nonsense.,sexual_violence
ID_02QMTIAS,He raped me. He’s ugly just by that statement.,sexual_violence
ID_02UIH1CL,i am sooo weak at her defense.... as if the fact she’s his daughter takes away the fact he raped her. imagine being so ignorant and dumb... couldn’t be me!,sexual_violence
ID_02XU8LZ7,How is baby being raped free will? Theism is denial of responsibility &amp; accountability. The idea that God is omnipotent and omniscient is weird to me! How many more atrocities must He witness in order to intervene?,sexual_violence
ID_02ZQXY1E,"It was years ago that I knew him, but I think the harassment I'm getting from Musk is related to Elder.   I think the military is trying to protect Elder. He raped me, but I was so desperate to be loved that I became trauma-bonded to him. He's really into slavery, I think.",sexual_violence
ID_031DO3Z9,"once he finished, he speeded past her and blame HER for what he did.  Now, tell me how that woman forced this guy into masturbating? How girls wearing jeans and hodies are to blame for being raped? bc she was wearing sth provocative? 2/3",sexual_violence
ID_031X75CU,"hi kyle you are my favourite on  you have it all , looks , fab husband , girls it beats me why you can't all get along ????you all have so much !!! But you have the most Deffo  in dreary England you brighten up my day !!!!",Physical_violence
ID_032RDQ8C,"I Will Kill My Husband, If He Beats Me – Former  BBNaija Housemate, Ese    ",Physical_violence
ID_032V99WD,Do you know who else does that? Josh Bloom. He came at me like a raped ape. He said I was a conspiracy theorist because he didn't like the direction my research was taking. He took it almost personally...it was strange. I bet his nostrils were flaring 😂,sexual_violence
ID_03358677,"Hi, I am selling my beats   I am new at making beats and it can help me grow if you RT this.   you can use code ""ASTERALITH"" for 20% off  ",Physical_violence
ID_036NFFI2,"My regret of not speaking up after being raped is constantly having the thoughts of girls he assaulted after me... Whom I never know, never meet, but shared the same experiences. The solidarity here is real. I believe the women before me share the same thought too.",sexual_violence
ID_038L14E7,"Coersian is rape. And also, “he would show up and physically fight me to have sex” what part are you missing sir? How many girls have you raped?",sexual_violence
ID_03A99YUP,Told my husband I'm not picking him up from deployment if he beats me in fantasy. I'm 1-6. ,Physical_violence
ID_03DXP0S4,"How kind. You brought up a tear or two. This is a fact. I was raped by a staffer of a Republican Congressman, who threatened my silence forever. He meant buisness. I had young children at the time and he threatened to smear me- said he had “friends”. Seriously. I hate the GOP.",sexual_violence
ID_03FI4K2E,"Yrs l8r he raped his then girlfriend. Got a 3yr sentence, only served 10 months. His parents live next door but 1 to my parents. Every time i visited, i ran the risk of seeing him. &amp; other family were angry with me for selling the house when my mum died. (3/3).",sexual_violence
ID_03FVAFBZ,"“My Husband Beats Me, My Wife Cheats” – Divorce Seeking Couples Give Implicating Details To Court    ",Physical_violence
ID_03H43HIT,"As much as I miss to be flying again, nothing beats the moments of me spending all my time with my husband rn.",Physical_violence
ID_03JXE0R4,He literally let her go off with the monster that raped me. (It was his dad) like we already had a conversation about why I don’t want her around him. He knows what  happened and he still “gave him a chance” i so so invalidated and unheard.,sexual_violence
ID_03KJ6GPG,"Taylor Swift is letting children be raped by her dad. Now she an he have raped some of my familys kids. The kids are emotionally attached to me, an try to hurt me because they are being hurt by Simon Cowell an Taylords dad. I don't like or know them they are really sick",sexual_violence
ID_03NT9JQM,"If the police murdered everyone who’s ever been drunk when they shouldn’t have been, a lot of us would be dead. Being drunk is not a death sentence.  Brock Turner raped an unconscious woman behind a dumpster. Correct me if I’m wrong but he’s still alive and not in prison, right?",sexual_violence
ID_03OLJQKV,why didn’t i report about the time i was raped in my sleep? because when i spoke up about it -I was threatened -it was used against me in a “never have i ever” game -I was told “well I can see how he saw that as hot” -I was admitted into a mental facility,sexual_violence
ID_03OPGL59,Well he has taken our rights a way when it comes to our body. Because I'm sorry if I was raped I would not want to have the child and I actually did not believe in abortion but in that particular case if I was raped I would have one and Donald Trump took that right away from me,sexual_violence
ID_03QFK6H4,He has me blocked also for pointing out that he raped his 4 year old daughter,sexual_violence
ID_03S2KWXB,"Seriously? And you don’t think you’re insulting me? If he had had a weapon or raped someone that day, they would have broadcasted that all day every day. If you don’t think that, sorry for you.",sexual_violence
ID_03TFEWFA,the day my husband beats me.is the day I go Lorena Bobbitt on his ass!,Physical_violence
ID_03VILU9B,Wow. He says you’re lying about that and says I also claimed to have been raped as a child when I never made that claim.,sexual_violence
ID_03W17F15,Its not like we havent heard the words come right out of his mouth. There's no question he's a sexual predator. We may not have definitive proof he sexually assaulted or raped these particular women but overwhelming evidence convinces me that he did. I have no reason to doubt.,sexual_violence
ID_03WE3EVQ,Me collecting not even the Medusa money for nat to say he raped me cause imma take offense,sexual_violence
ID_03X3A0VG,We dated when i was a freshman and he raped me continuously and beat me up. He has videos of my rape and shows them to his friends. He also stalked me for months after his name is c*leb Taylor,sexual_violence
ID_03XJGNF9,"I wish to 1 day have a open conversation with my so called 'dad'.and find out why wasn't I good enough for him to love me, that he had to deny me to my face when I needed him the most.was it coz of the fact that he raped me mom, or coz he had other kids 😒😒💔💔",sexual_violence
ID_03XKHV0B,This req. Courage. As Dish was raped and murder. And sushant murder mistry me to Fau-g App ka chakkar he Prithavi Raj Chauhan movie snached from sushant. Bollywood mafiya boycott,sexual_violence
ID_03Z96P00,Please can you show me the article which proves he beat up a pregnant women and gang raped another. I am not aware of this and would like to educate myself on the facts not just people saying shit on twitter,sexual_violence
ID_03ZNF93O,"Idgaf if you think its ""irrational"". We shouldn't have to risk being harrased, verbally assaulted, physically assaulted, raped or killed for saying no. Maybe he won't kill me, but that doesn't mean he won't try some other shit. As a woman, I am telling you. It's scary as hell.",sexual_violence
ID_0433SEKD,"1. That’s a private conversation from 2005. 2005. 2. He admits he tried to but he never actually raped anyone. I dislike Trump, but despite what you’ve told me, those woman are still liars and he is not a rapist.",sexual_violence
ID_04384TW2,TW DRUGGING FALSE CLAIMS  . . . . . remembering my ex best friend who claimed my other friend drugged raped her when he literally was smoking out of the same pipe and bowl as her and she later confessed to me that  a) he didn’t rape her  b) she cheated and claimed rape,sexual_violence
ID_043E7AL3,"Sorry, let me correct myself! He raped his wife and sexually assaulted countless women. Or just say he’s raped and looted America in general?",sexual_violence
ID_043L6K0L,He raped me 😤😤,sexual_violence
ID_045CBLJL,That’s not out of context or a joke. She literally said “i raped a kid” that’s isn’t out of context or a joke she went on to say he continued to say no i don’t want to lose my virginity here and she didn’t listen and ended tbe “joke” with no means yes to me. Nice joke...,sexual_violence
ID_0467KPT1,"Sam and I were talking about marriage today and someone tell me why when Sam said “When we’re husband and wife…”, my heart skipped several beats",Physical_violence
